FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
FL00001,JFKLHR189,JFK,LHR,2024-05-20,452,B777,350,258,7321258.11,484884.32
FL00002,SINDEL765,SIN,DEL,2024-01-16,462,B777,350,153,9180827.24,480480.71
FL00003,SFOHKG814,SFO,HKG,2024-04-22,692,B777,350,251,8816377.31,585880.86
FL00004,SEASFO967,SEA,SFO,2024-03-20,112,A320,180,136,112805.88,162900.69
FL00005,ORDATL400,ORD,ATL,2024-01-23,150,B737,162,157,1055464.23,156299.79
FL00006,DXBBOM181,DXB,BOM,2024-07-04,171,B737,162,126,1498854.15,159857.88
FL00007,MAASIN314,MAA,SIN,2024-02-21,286,B737,162,107,1187091.03,174998.32
FL00008,LAXNRT573,LAX,NRT,2024-12-15,681,B777,350,350,16115712.27,579799.93
FL00009,DFWDEN334,DFW,DEN,2024-11-23,113,A320,180,125,531320.42,165881.49
FL00010,BOMDXB422,BOM,DXB,2024-06-10,184,A320,180,127,3263653.26,173364.98
FL00011,CCUDEL674,CCU,DEL,2024-07-21,140,B737,162,123,71073.72,153309.28
FL00012,BOMLHR621,BOM,LHR,2024-10-26,564,B777,350,303,13847130.05,545673.39
FL00013,PHXLAS165,PHX,LAS,2024-01-25,72,A320,180,145,662409.54,155706.2
FL00014,DFWDEN334,DFW,DEN,2024-08-27,135,A320,180,156,800154.37,163407.92
FL00015,BLRBOM564,BLR,BOM,2024-10-01,98,B737,162,151,635348.25,150398.06
FL00016,DELBOM405,DEL,BOM,2024-05-14,126,B777,350,341,2769086.86,349733.81
FL00017,DXBBOM181,DXB,BOM,2024-11-07,178,B737,162,122,1756531.62,163194.19
FL00018,DELKTM414,DEL,KTM,2024-06-14,127,A320,180,131,2510249.71,164741.37
FL00019,HYDBLR645,HYD,BLR,2024-10-17,81,A320,180,123,605348.55,155491.36
FL00020,SYDSIN316,SYD,SIN,2024-12-03,505,B777,350,341,16738951.66,512617.38
FL00021,KTMDEL629,KTM,DEL,2024-12-19,116,B737,162,142,3902249.19,152619.98
FL00022,MIABOS172,MIA,BOS,2024-04-25,172,A320,180,55,74785.26,175052.86
FL00023,HKGSFO785,HKG,SFO,2024-04-27,695,A380,555,171,10539877.59,885752.3
FL00024,PHXLAS165,PHX,LAS,2024-03-08,68,A320,180,142,595144.11,155183.01
FL00025,JFKDEL155,JFK,DEL,2024-02-18,590,B777,350,125,4801078.67,524961.17
FL00026,NRTLAX296,NRT,LAX,2024-11-26,683,A380,555,229,14194061.57,1447863.22
