RouteCode,AvgRevenue,AvgOperationalCost,AvgProfit
SINSYD262,21752262.17,673520.16,21078742.01
LAXNRT573,20114094.79,712658.92,19401435.87
LHRDXB596,19837554.50,596163.31,19241391.20
LHRBOM617,19829638.97,679813.97,19149825.00
BOMLHR621,19216592.58,635508.22,18581084.36
SYDSIN316,19205379.56,662874.22,18542505.34
SINDEL765,19070042.65,614074.27,18455968.39
HKGSFO785,19092126.98,700371.60,18391755.38
SFOHKG814,18597125.00,700105.14,17897019.86
DELSIN670,18423414.94,629015.78,17794399.16
JFKDEL155,17958212.27,665423.89,17292788.38
NRTLAX296,17882494.67,728791.82,17153702.85
DXBLHR145,17708812.20,587003.48,17121808.72
BLRFRA643,17631065.54,671784.44,16959281.09
DELJFK372,17558718.74,656046.34,16902672.40
LHRJFK256,17479543.74,583073.26,16896470.48
FRABLR286,17381162.22,678729.46,16702432.76
JFKLHR189,17314244.44,615380.65,16698863.79
SINMAA969,8245551.90,330655.94,7914895.96
MAASIN314,7780676.86,323351.99,7457324.86
DXBDEL706,3579511.89,203838.34,3375673.55
DELKTM414,3526291.58,193253.38,3333038.20
BOMDXB422,3289649.82,196428.96,3093220.86
KTMDEL629,2923879.33,181482.85,2742396.48
DELDXB146,2843689.98,193172.70,2650517.28
DXBBOM181,2739753.28,188034.39,2551718.89
DACCCU362,2355003.65,151895.34,2203108.31
CCUDAC142,2235491.50,154995.85,2080495.65
LAXJFK190,1301938.61,343265.12,958673.48
JFKLAX182,1282783.25,339187.60,943595.64
BOMDEL453,761387.78,198177.07,563210.71
CCUDEL674,710461.91,185969.16,524492.75
BOMBLR153,713058.38,190946.90,522111.48
SFOSEA804,704831.13,187698.36,517132.77
HYDDEL202,698157.93,199490.92,498667.02
BOSMIA977,708520.70,215348.90,493171.80
BLRDEL424,702265.41,209375.15,492890.27
ORDATL400,680779.77,201180.08,479599.70
MIABOS172,681214.07,216046.24,465167.83
ATLORD193,649931.90,200270.85,449661.05
AMDDEL683,634870.01,186785.29,448084.72
DELBLR942,630530.71,192393.54,438137.17
BOMCCU689,628061.80,193144.03,434917.77
DENDFW439,603606.73,178181.35,425425.38
BLRBOM564,593119.67,171042.24,422077.42
DELBOM405,605913.46,184114.14,421799.32
MAADEL655,605145.89,191482.19,413663.70
DELMAA878,575448.87,190413.79,385035.07
DELAMD347,564559.75,179746.25,384813.50
LASPHX403,532901.26,157968.06,374933.21
SEASFO967,561407.04,186618.05,374788.99
GOIBOM673,528653.98,160647.87,368006.12
DFWDEN334,537909.24,172674.74,365234.50
DELCCU927,541362.02,177320.62,364041.40
CCUBOM220,542275.43,180152.39,362123.05
PHXLAS165,509687.05,155677.75,354009.30
BLRHYD297,509669.76,156873.59,352796.17
DELHYD177,510878.79,174875.94,336002.85
BOMGOI330,492261.77,157195.98,335065.79
HYDBLR645,489404.81,155474.89,333929.92
