RouteCode,OccupancyRate
LHRDXB596,77.76
CCUDEL674,77.48
DXBDEL706,77.34
ORDATL400,77.31
BLRHYD297,77.31
LASPHX403,77.29
SINSYD262,77.21
DELBOM405,77.16
PHXLAS165,77.15
CCUDAC142,76.99
BOMLHR621,76.98
HKGSFO785,76.74
LHRBOM617,76.49
CCUBOM220,76.47
BOMDEL453,76.36
MAASIN314,76.31
BLRBOM564,76.28
LAXJFK190,76.17
FRABLR286,76.09
LAXNRT573,75.77
DXBLHR145,75.52
SFOHKG814,75.50
BLRDEL424,75.36
BOMCCU689,75.34
SFOSEA804,75.28
DXBBOM181,75.19
MAADEL655,75.16
BOMBLR153,75.12
AMDDEL683,75.11
BLRFRA643,75.10
BOMDXB422,75.09
DENDFW439,75.04
DELAMD347,74.90
BOMGOI330,74.88
DELDXB146,74.79
DELJFK372,74.77
DACCCU362,74.75
DELSIN670,74.45
MIABOS172,74.42
NRTLAX296,74.38
GOIBOM673,74.27
LHRJFK256,74.27
SYDSIN316,74.20
BOSMIA977,73.88
HYDBLR645,73.83
JFKDEL155,73.51
HYDDEL202,73.42
DFWDEN334,73.42
DELKTM414,73.22
DELBLR942,72.80
ATLORD193,72.77
DELHYD177,72.70
DELCCU927,72.36
SINMAA969,72.27
JFKLAX182,72.21
KTMDEL629,72.15
SEASFO967,72.15
DELMAA878,71.62
JFKLHR189,70.94
SINDEL765,70.11
