RouteCode,MonthNumber,MonthlyProfit
AMDDEL683,1,6462161.82
AMDDEL683,2,1204626.85
AMDDEL683,3,-67994.84
AMDDEL683,4,3397998.46
AMDDEL683,5,6056173.48
AMDDEL683,6,5156403.47
AMDDEL683,7,138132.77
AMDDEL683,8,1997162.15
AMDDEL683,9,1649205.29
AMDDEL683,10,3720235.93
AMDDEL683,11,2407981.82
AMDDEL683,12,5517029.45
ATLORD193,1,6779793.16
ATLORD193,2,1570646.39
ATLORD193,3,76099.28
ATLORD193,4,4390162.73
ATLORD193,5,6664734.91
ATLORD193,6,1780392.46
ATLORD193,7,2987469.69
ATLORD193,8,3484296.05
ATLORD193,9,4018360.35
ATLORD193,10,4759792.95
ATLORD193,11,765673.47
ATLORD193,12,4541055.81
BLRBOM564,1,5984734.95
BLRBOM564,2,1887797.51
BLRBOM564,3,-204141.45
BLRBOM564,4,2131146.82
BLRBOM564,5,4696018.39
BLRBOM564,6,2853736.20
BLRBOM564,7,289576.70
BLRBOM564,8,819501.26
BLRBOM564,9,4415561.73
BLRBOM564,10,3345330.76
BLRBOM564,11,3045090.58
BLRBOM564,12,3657685.57
BLRDEL424,1,1539275.27
BLRDEL424,2,1775252.12
BLRDEL424,3,2485296.14
BLRDEL424,4,7630003.42
BLRDEL424,5,1517251.45
BLRDEL424,6,3372765.54
BLRDEL424,7,2757393.36
BLRDEL424,8,1833967.15
BLRDEL424,9,3697276.81
BLRDEL424,10,3283382.57
BLRDEL424,11,3437134.81
BLRDEL424,12,3637771.53
BLRFRA643,1,184589072.72
BLRFRA643,2,59373436.74
BLRFRA643,3,54172693.02
BLRFRA643,4,158146663.37
BLRFRA643,5,140912769.01
BLRFRA643,6,79347074.31
BLRFRA643,7,166102487.91
BLRFRA643,8,13890180.55
BLRFRA643,9,113308358.02
BLRFRA643,10,139864185.12
BLRFRA643,11,131525723.19
BLRFRA643,12,183346967.83
BLRHYD297,1,4831421.49
BLRHYD297,2,52418.44
BLRHYD297,3,169665.47
BLRHYD297,4,3087126.23
BLRHYD297,5,4910759.57
BLRHYD297,6,1188309.16
BLRHYD297,7,1628902.52
BLRHYD297,8,2411720.95
BLRHYD297,9,620432.36
BLRHYD297,10,1061923.09
BLRHYD297,11,1422409.42
BLRHYD297,12,3310643.02
BOMBLR153,1,4837848.07
BOMBLR153,2,3041490.12
BOMBLR153,3,1736387.93
BOMBLR153,4,2363030.91
BOMBLR153,5,9729655.94
BOMBLR153,6,3538996.62
BOMBLR153,7,1789575.36
BOMBLR153,8,640514.60
BOMBLR153,9,1057553.33
BOMBLR153,10,2741979.68
BOMBLR153,11,3095359.90
BOMBLR153,12,4585968.71
BOMCCU689,1,7040779.57
BOMCCU689,2,235858.69
BOMCCU689,3,1626877.33
BOMCCU689,4,3900988.90
BOMCCU689,5,4450987.22
BOMCCU689,6,2380902.99
BOMCCU689,7,211850.42
BOMCCU689,8,1564105.41
BOMCCU689,9,1451343.69
BOMCCU689,10,3199346.10
BOMCCU689,11,2285115.74
BOMCCU689,12,1661170.07
BOMDEL453,1,5636523.95
BOMDEL453,2,-207129.04
BOMDEL453,3,621468.50
BOMDEL453,4,4832236.94
BOMDEL453,5,3352877.89
BOMDEL453,6,6173818.42
BOMDEL453,7,4902288.23
BOMDEL453,8,2057090.12
BOMDEL453,9,2086118.61
BOMDEL453,10,1048200.37
BOMDEL453,11,5791808.19
BOMDEL453,12,5382290.00
BOMDXB422,1,28862136.23
BOMDXB422,2,2560670.97
BOMDXB422,3,7790223.31
BOMDXB422,4,12760437.40
BOMDXB422,5,35083303.49
BOMDXB422,6,29254143.40
BOMDXB422,7,5231540.29
BOMDXB422,8,9063507.81
BOMDXB422,9,34765100.73
BOMDXB422,10,11484349.52
BOMDXB422,11,6272954.53
BOMDXB422,12,27210650.96
BOMGOI330,1,1009446.42
BOMGOI330,2,427400.91
BOMGOI330,3,103058.64
BOMGOI330,4,2250998.31
BOMGOI330,5,5697497.96
